Column_Name	Max_Column_Length
Protein_Name	11
Accession	63
Description	1277
RefSeq	171
GI	171
TREMBL	0
Ensembl_Transcript	202
Ensembl_Protein	202
Ensembl_Gene	202
Entrez_GeneID	0
Entrez_GeneName	0
SwissProt	0
SwissProt_Name	0
Chromosome	0
Sequence_AA_Count	4
MW	6
Accession1	6
Accession2	6
Accession3	6
Accession4	6
Aarhus/Ghent-2DPAGE	9
ArrayExpress	6
Bgee	6
BioCyc	31
BRENDA	15
CAZy	35
CleanEx	15
Cornea-2DPAGE	6
CTD	16
DIP	22
DisProt	7
DMDM	9
DNASU	6
DOSAC-COBS-2DPAGE	6
DrugBank	789
eggNOG	9
EMBL	3509
EvolutionaryTrace	6
Gene3D	173
GeneCards	37
GeneID	20
GeneTree	19
Genevestigator	6
GermOnline	29
GlycoSuiteDB	6
GO	2521
HGNC	22
H-InvDB	34
HOGENOM	9
HOVERGEN	9
HPA	42
HSSP	12
InParanoid	6
IntAct	11
InterPro	356
IPI	128
KEGG	28
KO	6
MEROPS	7
MIM	60
MINT	12
NextBio	8
neXtProt	9
OGP	6
OMA	7
Orphanet	464
OrthoDB	9
PANTHER	36
Pathway_Interaction_DB	734
PDB	5083
PDBsum	952
PeptideAtlas	6
Pfam	132
PharmGKB	11
PhosphoSite	6
PhylomeDB	6
PIR	158
PIRSF	39
PMAP-CutDB	6
PRIDE	6
PRINTS	67
ProDom	23
PROSITE	145
ProteinModelPortal	6
Reactome	222
REPRODUCTION-2DPAGE	19
Siena-2DPAGE	6
SMART	41
SMR	45
STRING	6
SUPFAM	110
SWISS-2DPAGE	6
TCDB	85
TIGRFAMs	29
UCD-2DPAGE	6
UCSC	150
UniGene	42
